Collection_Num,BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
2394,5249,1,0.657534247,SA,85,8_6,0.71,1,49,87,1782,1881,5.375342466,4.249315068,1782,1881
2395,5213,0,0.657534247,SA,85,8_6,1.64,1,57.1,87,1491,1604,8.279452055,7.008219178,1491,1823
2396,5175,0,0.02739726,CH,85,8_31,0.76,1,58,85,2978,1196,4.632876712,11.50958904,2978,3089
2397,5473,0,0.02739726,CH,85,8_32,0.75,1,58,85,2963,1196,3.994520548,11.50958904,2978,3089
2398,5216,0,0.657534247,SA,85,8_10,0.56,1,60.1,87,3595,3457,2.189041096,2.567123288,3595,3457
2399,5256,0,0.657534247,SA,85,8_3,0.61,1,132,87,1195,1871,11.00273973,4.58630137,1195,1871
2400,5266,1,0.657534247,SA,85,8_13,0.87,1,64,87,1170,1877,10.59178082,4.189041096,1170,4872
2401,5268,0,1.052054795,A,85,4_36,0.66,2,122,90,1438,1708,8.42739726,5.956164384,1438,1708
2402,5268,0,0.657534247,SA,85,3_85,0.7,2,66,87,1438,1708,8.42739726,5.956164384,1438,1708
2403,5267,0,4.726027397,A,85,7_32,0.63,1,1.1,116,3518,3454,2.323287671,3.123287671,3518,3454
2404,5267,0,1.506849315,A,85,3_74,1.86,2,1.1,92,3518,3454,2.323287671,3.123287671,3518,3454
2405,5267,0,5.663013699,A,85,7_41,0.42,1,1.1,122,3518,3454,2.323287671,3.123287671,3518,3454
2406,5267,0,0.657534247,SA,85,3_74,2.66,2,69,87,3518,3454,2.323287671,3.123287671,3518,3454
2407,5215,1,0.657534247,SA,85,8_7,1.09,1,77,87,1865,1802,4.150684932,5.249315068,3645,0
2408,5260,1,0.328767123,OFL,85,3_74,1.03,2,86,87,3491,1523,2.854794521,8.778082192,1563,3617
2409,5260,1,0.857534247,SA,85,3_74,1.85,2,45,90,3491,1523,2.854794521,8.778082192,1563,3617
2410,5291,1,5.791780822,A,87,8_32,0.61,1,45,125,1043,3696,13.23013699,3.830136986,1043,1682
2411,5291,1,0.328767123,OFL,87,8_7,1.41,1,108,90,1043,3696,13.23013699,3.830136986,1043,1682
2412,5291,1,4.290410959,A,87,9_32,0.26,1,88,118,1043,3696,13.23013699,3.830136986,1043,1682
2413,5291,1,2.852054795,A,87,8_33,0.84,1,88,105,1043,3696,13.23013699,3.830136986,1043,1682
2414,5291,1,2.764383562,A,87,8_29,0.66,1,88,105,1043,3696,13.23013699,3.830136986,1043,1682
2415,5291,1,4.909589041,A,87,8_33,1.13,1,88,122,1043,3696,13.23013699,3.830136986,1043,1682
